ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024
95,글로벌사이버대학교,대학,사립,충남,C그룹,44.417309479614886,44.11736419318575,43.993185736251434,43.22078354815152,71.47442629784577,71.02883222459103,71.44780982719523,70.14932623402466,70.12712531186861,68.44701556888894,71.4478098271952
96,금강대학교,대학,사립,충남,C그룹,44.671162041682614,44.38295776486256,44.27455035532018,43.33965763661,70.1016511135297,70.66996551437461,70.23327047208437,67.48881941460762,69.04872463553022,67.56174360070192,69.20720689924481
97,기독간호대학교,전문대학,사립,광주,C그룹,44.608660107020384,44.312144653495785,44.18629726850063,43.25914051140273,69.82713006510248,69.68477573246236,68.35423430228298,67.6027161536238,67.75714160514788,67.7618356497133,67.84435616151404
98,김천대학교,대학,사립,경북,C그룹,44.417309479614886,44.120742367095175,44.00704615219715,43.210471387522695,67.57015109449573,67.4055099873819,68.89655420085688,67.33661384094434,67.3275648172058,68.03988724177279,67.53673555259128
99,김포대학교,전문대학,사립,경기,C그룹,44.417309479614886,44.1068794562821,43.99050581200901,43.22078354815152,67.79433184753877,67.70571141139348,67.80347194986915,67.39841894372847,70.39266979778982,68.55417296675154,69.09415444046064
100,김해대학교,전문대학,사립,경남,C그룹,44.4501395739445,44.118062442852754,43.99656391016086,43.22352746048918,67.96118051012364,69.82007623733108,70.7804708017104,70.10221399609733,70.10221399609733,67.4216334722721,68.80909048959144
101,나사렛대학교,대학,사립,충남,B그룹,44.47083916376065,44.154627295623904,44.059442393325185,43.29059644060147,67.41152927716247,67.34258944047825,67.33103444260101,67.3573960132616,67.20862267204417,67.20932564384913,67.22965127819958
102,나주대학교,전문대학,사립,전남,C그룹,44.417309479614886,44.11736419318575,43.993185736251434,43.22078354815152,67.84157564305099,67.39392499021243,68.63624950165193,67.44975657401623,67.36554505324084,67.40149798784613,69.06819495826079
103,남부대학교,대학,사립,광주,C그룹,44.41857826869617,44.11468426894333,43.993185736251434,43.22078354815152,67.45903121572556,67.45855867450483,68.51778600518038,67.40647396315758,67.3783677082041,67.38593553323894,68.35975262681372
104,남서울대학교,대학,사립,충남,B그룹,44.4892636651393,44.12804067156468,43.99873808574473,43.206081178837636,68.99566087490847,70.11641395794085,67.54329984300445,67.81641776818829,69.86174662380185,67.9602841538902,67.28830835037344
105,농협대학교,전문대학,사립,경기,C그룹,44.62115474527051,44.337643143738106,44.224555901624846,43.27963061747536,71.32849937681375,70.0375575182188,67.34059375867305,67.25127519651477,67.2834084446185,67.5302812057564,67.3012683459645
106,능인대학원대학교,대학원대학,사립,경기,-,44.417309479614886,44.11736419318575,44.233777979540896,43.2435054926458,71.50024118685445,67.43306388238676,71.45277512836454,70.04403916255677,67.40902104493706,74.1102457757296,74.11024577572958
107,단국대학교,대학,사립,경기,A그룹,44.80489170018623,44.508048498270675,44.332839395183086,43.38455019800285,69.81358084966097,70.16041175828977,70.34721081288457,70.37761397731232,70.24678087009251,70.38620080370889,70.18979269155794
108,대경대학교,전문대학,사립,경북,B그룹,44.480792600841944,44.171528751618375,43.993185736251434,43.22078354815152,68.9308035296812,67.8127620607999,68.88653679318223,68.6154533316761,67.94656049062955,67.95143877717143,67.45559390059522
109,대구가톨릭대학교,대학,사립,경북,A그룹,44.752507610818505,44.47058043505985,44.35538254818979,43.30385123714638,67.44619049503385,67.36553617220947,67.27974258406742,67.26548609667984,67.22996997839554,67.25706063852502,67.41431417936245
110,대구경북과학기술원,대학,국립,대구,C그룹,44.625688156422044,44.35271285437744,44.27466345501952,43.33690932806359,69.83534322877894,69.42029043607405,69.66950926632803,71.0271187180636,70.63139733258815,70.1735926339801,70.7098270071975
111,대구공업대학교,전문대학,사립,대구,C그룹,44.4219564426056,44.139384776303004,43.99656391016086,43.22078354815152,67.45684608314981,70.07497654756531,70.1817680964029,67.71912555963384,68.99296139459238,69.0875090078329,68.91042003968988
112,대구과학대학교,전문대학,사립,대구,A그룹,44.41004949770161,44.103704326727815,44.00314925522737,43.19364087782205,67.4564279035897,67.44769817973285,68.72385895088824,67.42070073652745,67.41324424263438,67.4146976098786,67.41416280517413
113,대구교육대학교,대학,국립,대구,C그룹,44.767272659617035,44.467495705683895,44.268046048944676,43.26451941870259,67.37489191125904,67.37244056482088,67.3933810671896,67.37090507087886,67.33358897748433,67.36970827283639,67.39544978974072
114,대구대학교,대학,사립,경북,A그룹,44.49813213518378,44.19448785367954,44.06676959838229,43.25551048809794,68.95207546843088,67.64336043063037,68.13399551417602,67.16794434515303,67.18509398502846,67.42474383410293,67.28116619614404
