ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
421,한국폴리텍Ⅶ대학진주캠퍼스,전문대학,사립,경남,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,73.33974318356373,73.71057363671268,73.71057363671268,73.83266,73.60236
422,한국폴리텍Ⅶ대학창원캠퍼스,전문대학,사립,경남,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47982104514391,71.50072156156794,71.44532005705001,71.45320457449338,71.45320457449337,71.45320457449337,71.4478098271952,71.23718,70.386604
423,한국폴리텍특성화 로봇캠퍼스,전문대학,사립,경북,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,71.47706659668104,71.47706659668104,71.47706659668103,71.51298,71.34563
424,한국폴리텍특성화 바이오캠퍼스,전문대학,사립,충남,C그룹,44.418578268696166,44.12095144953542,44.00025665737383,43.22658568019262,71.47442629784574,71.48469632490738,71.4980163689453,71.49801636894533,71.49801636894533,71.48863287049932,71.48863287049932,71.4084,71.41046
425,한국폴리텍특성화 반도체융합캠퍼스,전문대학,사립,경기,C그룹,44.52030267713172,44.22288731994853,44.045589106230004,43.25320164948675,71.51099890408692,71.49626259872565,71.49267327453971,71.48863287049933,71.48863287049932,71.4478098271952,71.49801636894531,71.57407,71.35557
426,한국폴리텍특성화 항공캠퍼스,전문대학,사립,경남,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.36514577370569,71.44605605697554,71.4384263287492,71.43842632874922,71.43842632874922,71.4837083348956,71.48863287049932,71.000755,70.96422
427,한국학대학원,대학원대학,국립,경기,-,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,74.05815572196613,74.06852870583712,74.06852870583712,74.06852870583712,74.06893193164356,74.06893193164356,74.03337,73.728004
428,한국항공대학교,대학,사립,경기,C그룹,44.654203859418764,44.19423509985568,44.05208640746719,43.22760663272338,68.08152253283251,67.4372950613306,67.42464241596052,67.8023558846485,67.49466482218827,67.48572832083096,67.46029910053814,67.53499,68.41256
429,한남대학교,대학,사립,대전,A그룹,44.51874699088193,44.17578041587967,44.02398088199413,43.2268861587056,68.44879587298327,67.5526749895263,67.61633344124878,67.25361339828474,67.220753032574,67.23902877166864,67.84544915918613,67.66334,67.705246
430,한동대학교,대학,사립,경북,C그룹,44.50227469095003,44.18658256225732,44.07756867479754,43.2933155516834,69.74601448118597,70.77875245599402,70.37508729297791,70.32995687079666,68.61189176898041,68.80842364934927,68.84750853380609,68.115166,68.28102
431,한라대학교,대학,사립,강원,C그룹,44.41730947961487,44.11736419318575,43.996563910160866,43.22078354815152,71.41962452201648,70.37428599551254,70.33355979824623,71.43082907440856,67.90489830941092,67.25737345917459,68.88416528195866,67.75707,67.847725
432,한려대학교,대학,사립,전남,C그룹,44.60447882860891,44.27512335719302,44.155221426279134,43.25939428677181,71.20948016565447,71.19474386029319,71.30746225736753,71.30746225736755,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
433,한림국제대학원대학교,대학원대학,사립,서울,-,44.62683759196662,44.341637143019135,44.035625587254074,43.28347988663119,71.46504279939974,71.44605605697554,71.4384263287492,71.0169636260179,70.37189847287631,70.13315939527166,71.41701246846377,69.04952,67.95757
434,한림대학교,대학,사립,강원,B그룹,44.50193747492422,44.208867102059536,44.098629246839685,43.31104489234073,68.29866807950185,69.18187791198905,69.86013120455492,69.70246552155005,69.116636140329,69.03389357770055,69.2055579114599,68.99297,68.943
435,한림성심대학교,전문대학,사립,강원,B그룹,44.42623765903727,44.11736419318575,43.99318573625144,43.20772747518503,70.12227864065413,67.75705737467148,71.4330800050408,71.06725878931314,71.47068192598164,67.4029869485055,67.40753077590426,68.204384,68.63958
436,한민학교,대학,사립,충남,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
437,한반도국제대학원대학교,대학원대학,사립,서울,-,44.5147837758783,44.2138462009883,44.08271232219567,43.27963061747536,71.32982829095515,71.34023650092409,71.3276983131018,71.21572936365932,71.33260677269779,71.33260677269777,71.31165700043351,71.34765,69.63911
438,한북대학교,대학,사립,경기,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
439,한서대학교,대학,사립,충남,B그룹,44.41310754264717,44.10964003851123,43.9867133571451,43.19738644894299,67.47336745280124,67.26964543632431,67.24423551544929,67.20326251611226,67.33045713935194,67.32938237688471,67.20965290775752,67.144844,67.24155
440,한성대학교,대학,사립,서울,B그룹,44.6693991176173,44.3976621171037,44.27307108905217,43.33965763660999,67.32143645654737,68.84331033161219,67.17342607567467,67.18448655729992,67.1940061022642,67.20032283108938,67.16836569454081,67.28203,68.05498
441,한세대학교,대학,사립,경기,C그룹,44.494288000024525,44.24411685395456,43.98406723610927,43.19385594032058,67.97291858169746,67.30799000832107,67.25516782726584,67.83161156576769,67.69327312463065,67.28685188198543,70.82193347178351,70.401924,71.74553
442,한신대학교,대학,사립,경기,B그룹,44.484419338542594,44.17026327990872,44.06598483278984,43.272979980660516,67.94829247939764,68.94616071556642,69.09792165879115,67.53073356348129,67.20098774099813,67.23835373692465,67.51141640167317,68.04412,67.82462
443,한양대학교,대학,사립,서울,A그룹,47.50444554851509,46.9581025025602,46.73086411930363,45.68278417818738,75.59676363287247,76.02418442780335,77.03819140424986,74.3084903161997,74.52372656721937,74.4402370283994,74.50168519419826,73.96854,73.86631
444,한양대학교(ERICA),대학,사립,경기,A그룹,44.61842127270381,44.35616840789907,44.06523114437969,43.262568574350865,68.9589800245089,69.36315528482785,69.53495598045862,69.43614972951688,69.02727995398669,69.52243146219915,69.8420594212114,69.355095,68.62281
445,한양여자대학교,전문대학,사립,서울,A그룹,44.41730947961487,44.096796991887615,43.99318573625144,43.21029881124786,67.45028038351151,67.3798167967103,67.37906385262558,67.36204043646373,67.38334559416836,67.39030586122972,67.39493235961089,67.43948,68.2862
446,한영대학교,전문대학,사립,전남,C그룹,44.487994876057996,44.184036588117024,44.06453796375359,43.348122512661995,69.83901024452992,70.77597663622792,67.60129351736616,67.60521046298021,67.3669777218681,69.82441048613026,67.43112541135835,68.180824,68.31453
